,Mimic,Content,Conc. [mM],T1 [s],T2 [s],ADC (um2/s)
0,ADC 1,PVP,0.0,2.372171401977539,1.5289165093004704,2393.0
1,ADC 2,PVP,50.0,0.2949085831642151,0.2726008682325482,388.0
2,ADC 3,PVP,0.0,2.3464951515197754,1.533066474944353,2393.0
3,ADC 4,PVP,0.0,2.3841474056243896,1.3012736022099851,2393.0
4,ADC 5,PVP,10.0,1.707575798034668,1.133891654573381,1884.0
5,ADC 6,PVP,20.0,1.2763313055038452,1.0972336247190833,1439.0
6,ADC 7,PVP,30.0,0.9341833293437958,0.9415234554558992,1047.0
7,ADC 8,PVP,40.0,0.5353390276432037,0.4745658629015088,654.0
8,ADC 9,PVP,40.0,0.5430249571800232,0.5271320943906903,654.0
9,ADC 10,PVP,50.0,0.3008164763450622,0.2905840526893735,388.0
10,ADC 11,PVP,0.0,2.5136258602142334,1.858233574666083,2393.0
11,ADC 12,PVP,10.0,1.8207799196243288,1.5558912859857084,1884.0
12,ADC 13,PVP,20.0,1.2667336463928225,1.133199993632734,1439.0
13,ADC 14,PVP,30.0,0.9235353469848632,0.9221569491177796,1047.0
